Lat,Long,Zone,Type
353701.539999999979045,7726362.669999999925494,24K,"1"
353643.340000000025611,7726281.349999999627471,24K,"1"
353585.130000000004657,7726200.040000000037253,24K,"1"
353526.919999999983702,7726118.719999999739230,24K,"1"
353469.849999999976717,7726036.639999999664724,24K,"1"
353414.590000000025611,7725953.299999999813735,24K,"1"
353357.750000000000000,7725871.019999999552965,24K,"1"
353310.309999999997672,7725783.400000000372529,24K,"1"
353268.080000000016298,7725692.750000000000000,24K,"1"
353225.859999999986030,7725602.110000000335276,24K,"1"
353183.630000000004657,7725511.459999999962747,24K,"1"
353141.400000000023283,7725420.809999999590218,24K,"1"
353099.179999999993015,7725330.160000000149012,24K,"1"
353056.950000000011642,7725239.519999999552965,24K,"1"
353014.719999999972060,7725148.870000000111759,24K,"1"
352972.500000000000000,7725058.219999999739230,24K,"1"
352930.270000000018626,7724967.580000000074506,24K,"1"
352888.049999999988358,7724876.929999999701977,24K,"1"
352846.000000000000000,7724786.200000000186265,24K,"1"
352804.000000000000000,7724695.450000000186265,24K,"1"
352761.989999999990687,7724604.700000000186265,24K,"1"
352719.849999999976717,7724514.009999999776483,24K,"1"
352677.690000000002328,7724423.330000000074506,24K,"1"
352635.530000000027940,7724332.650000000372529,24K,"1"
352593.229999999981374,7724242.040000000037253,24K,"1"
352550.929999999993015,7724151.419999999925494,24K,"1"
352508.609999999986030,7724060.820000000298023,24K,"1"
352466.169999999983702,7723970.280000000260770,24K,"1"
352423.719999999972060,7723879.730000000447035,24K,"1"
352381.440000000002328,7723789.110000000335276,24K,"1"
352335.200000000011642,7723700.469999999739230,24K,"1"
352282.049999999988358,7723615.809999999590218,24K,"1"
352222.369999999995343,7723535.599999999627471,24K,"1"
352156.359999999986030,7723460.519999999552965,24K,"1"
352084.049999999988358,7723391.480000000447035,24K,"1"
352009.349999999976717,7723325.009999999776483,24K,"1"
351932.750000000000000,7723260.730000000447035,24K,"1"
351854.330000000016298,7723198.690000000409782,24K,"1"
351773.909999999974389,7723139.280000000260770,24K,"1"
351697.849999999976717,7723074.530000000260770,24K,"1"
351632.630000000004657,7722998.860000000335276,24K,"1"
351580.010000000009313,7722913.940000000409782,24K,"1"
351541.039999999979045,7722821.959999999962747,24K,"1"
351516.909999999974389,7722725.030000000260770,24K,"1"
351505.289999999979045,7722625.719999999739230,24K,"1"
351494.239999999990687,7722526.330000000074506,24K,"1"
351483.200000000011642,7722426.940000000409782,24K,"1"
351472.159999999974389,7722327.549999999813735,24K,"1"
351461.119999999995343,7722228.169999999925494,24K,"1"
351450.070000000006985,7722128.780000000260770,24K,"1"
351439.030000000027940,7722029.389999999664724,24K,"1"
351427.989999999990687,7721930.000000000000000,24K,"1"
351416.940000000002328,7721830.610000000335276,24K,"1"
351405.900000000023283,7721731.219999999739230,24K,"1"
351394.859999999986030,7721631.839999999850988,24K,"1"
351383.809999999997672,7721532.450000000186265,24K,"1"
351373.840000000025611,7721432.959999999962747,24K,"1"
351365.479999999981374,7721333.309999999590218,24K,"1"
351355.640000000013970,7721233.799999999813735,24K,"1"
351344.299999999988358,7721134.440000000409782,24K,"1"
351331.630000000004657,7721035.250000000000000,24K,"1"
351317.369999999995343,7720936.269999999552965,24K,"1"
351301.729999999981374,7720837.500000000000000,24K,"1"
351284.549999999988358,7720739.000000000000000,24K,"1"
351262.450000000011642,7720641.469999999739230,24K,"1"
351237.260000000009313,7720544.709999999962747,24K,"1"
351208.989999999990687,7720448.790000000037253,24K,"1"
351177.679999999993015,7720353.820000000298023,24K,"1"
351143.359999999986030,7720259.900000000372529,24K,"1"
351106.239999999990687,7720167.049999999813735,24K,"1"
351068.710000000020955,7720074.360000000335276,24K,"1"
351030.979999999981374,7719981.750000000000000,24K,"1"
350993.010000000009313,7719889.240000000223517,24K,"1"
350954.679999999993015,7719796.879999999888241,24K,"1"
350916.179999999993015,7719704.580000000074506,24K,"1"
350877.320000000006985,7719612.440000000409782,24K,"1"
350821.000000000000000,7719532.320000000298023,24K,"1"
350767.909999999974389,7719447.660000000149012,24K,"1"
350714.570000000006985,7719363.070000000298023,24K,"1"
350660.510000000009313,7719278.950000000186265,24K,"1"
350592.229999999981374,7719207.440000000409782,24K,"1"
350496.869999999995343,7719182.030000000260770,24K,"1"
350401.750000000000000,7719210.110000000335276,24K,"1"
350310.190000000002328,7719250.280000000260770,24K,"1"
350223.309999999997672,7719299.139999999664724,24K,"1"
350141.770000000018626,7719357.030000000260770,24K,"1"
350060.340000000025611,7719415.070000000298023,24K,"1"
349979.030000000027940,7719473.290000000037253,24K,"1"
349897.869999999995343,7719531.700000000186265,24K,"1"
349816.799999999988358,7719590.259999999776483,24K,"1"
349732.479999999981374,7719643.830000000074506,24K,"1"
349643.260000000009313,7719688.940000000409782,24K,"1"
349549.799999999988358,7719723.570000000298023,24K,"1"
349451.859999999986030,7719743.740000000223517,24K,"1"
349353.869999999995343,7719763.679999999701977,24K,"1"
349255.840000000025611,7719783.450000000186265,24K,"1"
349157.739999999990687,7719802.849999999627471,24K,"1"
349059.609999999986030,7719822.099999999627471,24K,"1"
348961.429999999993015,7719841.080000000074506,24K,"1"
348863.349999999976717,7719860.549999999813735,24K,"1"
348764.530000000027940,7719875.830000000074506,24K,"1"
348665.020000000018626,7719885.549999999813735,24K,"1"
348565.659999999974389,7719896.089999999850988,24K,"1"
348468.969999999972060,7719921.209999999962747,24K,"1"
348377.099999999976717,7719960.459999999962747,24K,"1"
348292.690000000002328,7720013.910000000149012,24K,"1"
348209.590000000025611,7720069.540000000037253,24K,"1"
348126.840000000025611,7720125.599999999627471,24K,"1"
348035.559999999997672,7720165.860000000335276,24K,"1"
347937.489999999990687,7720184.209999999962747,24K,"1"
347837.619999999995343,7720189.349999999627471,24K,"1"
347737.690000000002328,7720192.969999999739230,24K,"1"
347637.710000000020955,7720194.839999999850988,24K,"1"
347537.710000000020955,7720195.120000000111759,24K,"1"
347437.719999999972060,7720193.730000000447035,24K,"1"
347337.830000000016298,7720189.730000000447035,24K,"1"
347237.909999999974389,7720187.709999999962747,24K,"1"
347138.390000000013970,7720196.870000000111759,24K,"1"
347040.979999999981374,7720218.410000000149012,24K,"1"
346947.880000000004657,7720254.719999999739230,24K,"1"
346851.070000000006985,7720279.480000000447035,24K,"1"
346751.960000000020955,7720292.320000000298023,24K,"1"
346652.070000000006985,7720295.240000000223517,24K,"1"
346552.190000000002328,7720299.259999999776483,24K,"1"
346452.320000000006985,7720294.730000000447035,24K,"1"
346353.530000000027940,7720280.330000000074506,24K,"1"
346257.770000000018626,7720251.519999999552965,24K,"1"
346161.799999999988358,7720223.410000000149012,24K,"1"
346065.630000000004657,7720195.980000000447035,24K,"1"
345967.609999999986030,7720177.929999999701977,24K,"1"
345868.159999999974389,7720167.480000000447035,24K,"1"
345768.590000000025611,7720158.200000000186265,24K,"1"
345668.929999999993015,7720149.919999999925494,24K,"1"
345569.200000000011642,7720142.629999999888241,24K,"1"
345469.500000000000000,7720134.959999999962747,24K,"1"
345369.570000000006985,7720131.679999999701977,24K,"1"
345269.590000000025611,7720133.490000000223517,24K,"1"
345169.830000000016298,7720140.139999999664724,24K,"1"
345070.510000000009313,7720151.690000000409782,24K,"1"
344971.289999999979045,7720163.309999999590218,24K,"1"
344872.330000000016298,7720151.389999999664724,24K,"1"
344780.140000000013970,7720113.459999999962747,24K,"1"
344701.429999999993015,7720052.280000000260770,24K,"1"
344641.940000000002328,7719972.269999999552965,24K,"1"
344601.239999999990687,7719880.990000000223517,24K,"1"
344559.039999999979045,7719790.339999999850988,24K,"1"
344512.840000000025611,7719701.669999999925494,24K,"1"
344462.659999999974389,7719615.179999999701977,24K,"1"
344402.630000000004657,7719535.769999999552965,24K,"1"
344343.309999999997672,7719455.389999999664724,24K,"1"
344297.150000000023283,7719366.799999999813735,24K,"1"
344265.950000000011642,7719271.969999999739230,24K,"1"
344242.590000000025611,7719174.740000000223517,24K,"1"
344219.239999999990687,7719077.500000000000000,24K,"1"
344195.890000000013970,7718980.259999999776483,24K,"1"
344173.520000000018626,7718882.839999999850988,24K,"1"
344130.619999999995343,7718793.000000000000000,24K,"1"
344061.369999999995343,7718721.570000000298023,24K,"1"
343979.710000000020955,7718663.849999999627471,24K,"1"
343898.049999999988358,7718606.139999999664724,24K,"1"
343816.380000000004657,7718548.419999999925494,24K,"1"
343734.719999999972060,7718490.700000000186265,24K,"1"
343652.840000000025611,7718433.339999999850988,24K,"1"
343560.659999999974389,7718395.730000000447035,24K,"1"
343461.320000000006985,7718389.349999999627471,24K,"1"
343363.710000000020955,7718410.469999999739230,24K,"1"
343264.229999999981374,7718417.610000000335276,24K,"1"
343166.049999999988358,7718400.030000000260770,24K,"1"
343075.140000000013970,7718359.000000000000000,24K,"1"
342995.820000000006985,7718298.299999999813735,24K,"1"
342921.309999999997672,7718231.620000000111759,24K,"1"
342850.710000000020955,7718160.830000000074506,24K,"1"
342782.700000000011642,7718087.559999999590218,24K,"1"
342704.880000000004657,7718024.950000000186265,24K,"1"
342617.260000000009313,7717977.040000000037253,24K,"1"
342522.590000000025611,7717945.250000000000000,24K,"1"
342423.809999999997672,7717930.660000000149012,24K,"1"
342323.929999999993015,7717925.830000000074506,24K,"1"
342224.010000000009313,7717921.860000000335276,24K,"1"
342124.059999999997672,7717918.740000000223517,24K,"1"
342024.080000000016298,7717916.540000000037253,24K,"1"
341924.419999999983702,7717912.240000000223517,24K,"1"
341866.190000000002328,7717838.769999999552965,24K,"1"
341806.299999999988358,7717761.580000000074506,24K,"1"
341709.820000000006985,7717740.969999999739230,24K,"1"
341609.880000000004657,7717737.889999999664724,24K,"1"
341510.190000000002328,7717743.209999999962747,24K,"1"
341411.039999999979045,7717734.059999999590218,24K,"1"
341319.409999999974389,7717694.980000000447035,24K,"1"
341229.219999999972060,7717651.830000000074506,24K,"1"
341141.989999999990687,7717602.969999999739230,24K,"1"
341058.080000000016298,7717548.599999999627471,24K,"1"
340980.460000000020955,7717485.830000000074506,24K,"1"
340906.520000000018626,7717418.500000000000000,24K,"1"
340832.580000000016298,7717351.179999999701977,24K,"1"
340756.969999999972060,7717285.790000000037253,24K,"1"
340685.929999999993015,7717215.490000000223517,24K,"1"
340627.429999999993015,7717135.089999999850988,24K,"1"
340584.340000000025611,7717044.860000000335276,24K,"1"
340538.489999999990687,7716955.990000000223517,24K,"1"
340486.700000000011642,7716871.000000000000000,24K,"1"
340403.010000000009313,7716818.240000000223517,24K,"1"
340304.239999999990687,7716812.759999999776483,24K,"1"
340207.119999999995343,7716836.530000000260770,24K,"1"
340109.750000000000000,7716858.250000000000000,24K,"1"
340011.880000000004657,7716842.320000000298023,24K,"1"
339930.989999999990687,7716785.110000000335276,24K,"1"
339865.429999999993015,7716709.599999999627471,24K,"1"
339799.799999999988358,7716634.150000000372529,24K,"1"
339734.039999999979045,7716558.820000000298023,24K,"1"
339668.140000000013970,7716483.599999999627471,24K,"1"
339602.159999999974389,7716408.450000000186265,24K,"1"
339536.000000000000000,7716333.469999999739230,24K,"1"
339469.619999999995343,7716258.690000000409782,24K,"1"
339391.869999999995343,7716196.269999999552965,24K,"1"
339300.380000000004657,7716156.639999999664724,24K,"1"
339202.159999999974389,7716138.200000000186265,24K,"1"
339102.770000000018626,7716132.419999999925494,24K,"1"
